Once Upon a Time... in Hollywood;2019;tt7131622;US
Marriage Story;2019;tt7653254;US
The Irishman;2019;tt1302006;US
The Report;2019;tt8236336;US
Parasite;2019;tt6751668;KR
Joker;2019;tt7286456;US
Knives Out;2019;tt8946378;US
6 Underground;2019;tt8106534;US
Stan & Ollie;2019;tt3385524;GB,US,CA
1917;2019;tt8579674;US,GB
Spider-Man: Far from Home;'';'';''
Midsommar;2019;tt8772262;US
The Two Popes;2019;tt8404614;''
They Shall Not Grow Old;2018;'';GB,NZ
Green Book;2018;tt6966692;US
Capharnaüm;2018;tt8267604;LB,US
Star Wars: Episode IX - The Rise of Skywalker;2019;tt2527338;US
Ford v Ferrari;2019;tt1950186;US
Toy Story 4;2019;tt1979376;US
Jojo Rabbit;2019;tt2584384;DE,US
Rocketman;2019;tt2066051;GB,US
Jumanji: The Next Level;2019;tt7975244;US
My Hero Academia: HEROES:RISING;2019;tt11107074;''
Uncut Gems;2019;tt5727208;''
Checkered Ninja;2018;tt7367960;DK
Booksmart;2019;tt1489887;US
Frozen II;2019;'';US
The Post;2017;tt6294822;US,GB
Mission: Impossible - Fallout;2018;tt4912910;US,CN
Last Christmas;2019;'';''
Queen of Hearts;2019;tt8378126;DK,SE
Aladdin;2019;tt6139732;US
Avengers: Endgame;2019;tt4154796;US
The Lighthouse;2019;tt7984734;US,BR
The Favourite;2018;'';IE,GB,US
John Wick: Chapter 3 - Parabellum;2019;tt6146586;US
It Chapter Two;2019;tt7349950;US
Daniel;2019;tt9179230;DK
The Lion King;2019;tt6105098;US
Doctor Sleep;2019;tt5606664;US
Little Women;2019;tt3281548;''
Ad Astra;2019;tt2935510;US
Vice;2018;tt6266538;US
Escape Room;2019;'';US
